"date","year","month","day","4535002"
2009-05-01,"2009","05","01",62.824
2009-06-01,"2009","06","01",46.776
2009-07-01,"2009","07","01",45.697
2009-08-01,"2009","08","01",61.784
2009-09-01,"2009","09","01",74.403
2009-10-01,"2009","10","01",121.848
2009-11-01,"2009","11","01",142.136
2009-12-01,"2009","12","01",165.105
2010-01-01,"2010","01","01",161.39
2010-02-01,"2010","02","01",132.868
2010-03-01,"2010","03","01",122.997
2010-04-01,"2010","04","01",84.556
2010-05-01,"2010","05","01",57.923
2010-06-01,"2010","06","01",42.36
2010-07-01,"2010","07","01",41.09
2010-08-01,"2010","08","01",62.762
2010-09-01,"2010","09","01",79.218
2010-10-01,"2010","10","01",115.296
2010-11-01,"2010","11","01",141.379
2010-12-01,"2010","12","01",154.311
2011-01-01,"2011","01","01",158.377
2011-02-01,"2011","02","01",127.741
2011-03-01,"2011","03","01",116.053
2011-04-01,"2011","04","01",85.687
2011-05-01,"2011","05","01",65.642
2011-06-01,"2011","06","01",42.889
2011-07-01,"2011","07","01",42.256
2011-08-01,"2011","08","01",55.135
2011-09-01,"2011","09","01",90.313
2011-10-01,"2011","10","01",115.072
2011-11-01,"2011","11","01",148.626
2011-12-01,"2011","12","01",160.559
2012-01-01,"2012","01","01",153.163
2012-02-01,"2012","02","01",135.085
2012-03-01,"2012","03","01",125.097
2012-04-01,"2012","04","01",81.133
2012-05-01,"2012","05","01",62.374
2012-06-01,"2012","06","01",46.876
2012-07-01,"2012","07","01",52.815
2012-08-01,"2012","08","01",61.362
2012-09-01,"2012","09","01",86.994
2012-10-01,"2012","10","01",112.389
2012-11-01,"2012","11","01",149.484
2012-12-01,"2012","12","01",161.916
2013-01-01,"2013","01","01",156.103
2013-02-01,"2013","02","01",132.335
2013-03-01,"2013","03","01",121.25
2013-04-01,"2013","04","01",86.382
2013-05-01,"2013","05","01",58.488
2013-06-01,"2013","06","01",46.546
2013-07-01,"2013","07","01",49.153
2013-08-01,"2013","08","01",65.423
2013-09-01,"2013","09","01",83.46
2013-10-01,"2013","10","01",119.571
2013-11-01,"2013","11","01",143.065
2013-12-01,"2013","12","01",162.824
2014-01-01,"2014","01","01",157.377
2014-02-01,"2014","02","01",128.907
2014-03-01,"2014","03","01",118.403
2014-04-01,"2014","04","01",85.286
2014-05-01,"2014","05","01",60.431
2014-06-01,"2014","06","01",42.795
2014-07-01,"2014","07","01",48.893
2014-08-01,"2014","08","01",68.001
2014-09-01,"2014","09","01",76.501
2014-10-01,"2014","10","01",126.604
2014-11-01,"2014","11","01",145.909
2014-12-01,"2014","12","01",162.154
2015-01-01,"2015","01","01",160.957
2015-02-01,"2015","02","01",129.362
2015-03-01,"2015","03","01",119.992
2015-04-01,"2015","04","01",89.696
2015-05-01,"2015","05","01",64.252
2015-06-01,"2015","06","01",54.413
2015-07-01,"2015","07","01",49.147
2015-08-01,"2015","08","01",58.304
2015-09-01,"2015","09","01",77.083
2015-10-01,"2015","10","01",101.079
2015-11-01,"2015","11","01",137.098
2015-12-01,"2015","12","01",168.964
2016-01-01,"2016","01","01",161.99
2016-02-01,"2016","02","01",142.625
2016-03-01,"2016","03","01",122.516
2016-04-01,"2016","04","01",74.964
2016-05-01,"2016","05","01",52.831
2016-06-01,"2016","06","01",43.606
2016-07-01,"2016","07","01",44.906
2016-08-01,"2016","08","01",70.145
2016-09-01,"2016","09","01",99.282
2016-10-01,"2016","10","01",116.811
2016-11-01,"2016","11","01",149.797
2016-12-01,"2016","12","01",160.821
2017-01-01,"2017","01","01",164.447
2017-02-01,"2017","02","01",131.108
2017-03-01,"2017","03","01",120.891
2017-04-01,"2017","04","01",83.277
2017-05-01,"2017","05","01",50.39
2017-06-01,"2017","06","01",42.839
2017-07-01,"2017","07","01",50.481
2017-08-01,"2017","08","01",60.334
2017-09-01,"2017","09","01",82.113
2017-10-01,"2017","10","01",119.249
2017-11-01,"2017","11","01",146.326
2017-12-01,"2017","12","01",165.018
2018-01-01,"2018","01","01",159.02
2018-02-01,"2018","02","01",129.546
2018-03-01,"2018","03","01",122.067
2018-04-01,"2018","04","01",87.272
2018-05-01,"2018","05","01",61.105
2018-06-01,"2018","06","01",45.699
2018-07-01,"2018","07","01",46.412
2018-08-01,"2018","08","01",69.051
2018-09-01,"2018","09","01",89.377
2018-10-01,"2018","10","01",116.03
2018-11-01,"2018","11","01",152
2018-12-01,"2018","12","01",163.64
2019-01-01,"2019","01","01",159.752
2019-02-01,"2019","02","01",133.896
2019-03-01,"2019","03","01",123.155
2019-04-01,"2019","04","01",85.72
2019-05-01,"2019","05","01",58.694
2019-06-01,"2019","06","01",45.142
2019-07-01,"2019","07","01",51.384
2019-08-01,"2019","08","01",74.74
2019-09-01,"2019","09","01",84.017
2019-10-01,"2019","10","01",120.753
2019-11-01,"2019","11","01",157.75
2019-12-01,"2019","12","01",168.958
2020-01-01,"2020","01","01",159.039
2020-02-01,"2020","02","01",140.808
2020-03-01,"2020","03","01",122.998
2020-04-01,"2020","04","01",86.122
