system:index,date,.geo
116,1992-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,1992-12-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,1992-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,1992-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1993-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,1993-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,1993-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,1993-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,1993-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,1993-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,1993-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,1993-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,1993-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,1993-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,1993-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,1993-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1993-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,1993-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,1993-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,1993-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,1993-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,1993-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,1993-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,1993-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,1993-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,1993-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,1993-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,1994-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,1994-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,1994-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,1994-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,1994-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,1994-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,1994-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,1994-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,1994-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,1994-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,1994-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,1994-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,1994-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,1994-12-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,1994-12-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,1995-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,1995-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,1995-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,1995-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,1995-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,1995-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,1995-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,1995-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,1995-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,1995-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,1995-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,1995-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,1996-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,1996-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,1996-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,1996-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,1996-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,1996-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,1996-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,1996-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,1996-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,1996-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,1996-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,1996-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,1996-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,1996-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,1996-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,1997-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,1997-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,1997-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,1997-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,1997-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,1997-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,1997-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,1997-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,1997-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,1997-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,1997-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,1997-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,1997-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,1997-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,1997-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,1998-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,1998-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,1998-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,1998-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
